Designator,Mid X,Mid Y,Rotation,Layer
BAT_IN_1,60.973223,-19.926776,270.0,bottom
C1,29.173223,13.273224,180.0,bottom
C10,38.423223,-8.576776,270.0,bottom
C11,37.823223,-5.526776,180.0,bottom
C12,61.023223,1.119317,180.0,bottom
C13,59.473223,-12.880683,180.0,bottom
C14,52.473223,4.469317,180.0,bottom
C15,51.073223,-10.180683,270.0,bottom
C16,68.4,0.1,90.0,bottom
C17,64.723223,1.0,180.0,bottom
C2,38.323223,14.2,180.0,bottom
C3,54.123223,13.273224,180.0,bottom
C4,63.723223,13.273224,180.0,bottom
C8,37.823223,-4.026776,180.0,bottom
C9,29.943222,-7.926776,270.0,bottom
CHN_DOWN1,59.023223,-3.626776,90.0,top
CHN_UP1,59.023223,11.373224,90.0,top
CHRG/LBO1,63.3,-12.7,180.0,bottom
D1,17.323223,43.969317,315.0,top
D10,19.223223,43.969317,315.0,top
D100,36.323223,43.968634,315.0,top
D101,36.323223,42.069317,315.0,top
D102,36.323223,40.169317,315.0,top
D103,36.323223,38.269317,315.0,top
D104,36.323214,36.369317,315.0,top
D105,36.323223,34.469317,315.0,top
D106,36.323223,32.569317,315.0,top
D107,36.323223,30.669317,315.0,top
D108,36.323223,28.769317,315.0,top
D109,38.223223,43.968634,315.0,top
D11,19.223223,42.07,315.0,top
D110,38.223223,42.069317,315.0,top
D111,38.223223,40.169317,315.0,top
D112,38.223223,38.269317,315.0,top
D113,38.223213,36.3694,315.0,top
D114,38.223223,34.469317,315.0,top
D115,38.223223,32.569317,315.0,top
D116,38.223223,30.669317,315.0,top
D117,38.223223,28.769317,315.0,top
D118,40.123223,43.969317,315.0,top
D119,40.123223,42.07,315.0,top
D12,19.223223,40.173224,315.0,top
D120,40.123223,40.17,315.0,top
D121,40.123223,38.27,315.0,top
D122,40.123212,36.37,315.0,top
D123,40.123223,34.47,315.0,top
D124,40.123223,32.57,315.0,top
D125,40.123223,30.67,315.0,top
D126,40.123223,28.77,315.0,top
D127,42.023223,43.969317,315.0,top
D128,42.023223,42.07,315.0,top
D129,42.023223,40.17,315.0,top
D13,19.223223,38.273224,315.0,top
D130,42.023223,38.27,315.0,top
D131,42.023211,36.37,315.0,top
D132,42.023223,34.47,315.0,top
D133,42.023223,32.57,315.0,top
D134,42.023223,30.67,315.0,top
D135,42.023223,28.77,315.0,top
D14,19.223222,36.3694,315.0,top
D145,43.923223,43.968634,315.0,top
D146,43.923223,42.069317,315.0,top
D147,43.923223,40.169317,315.0,top
D148,43.923223,38.269317,315.0,top
D149,43.923211,36.3694,315.0,top
D15,19.223223,34.473224,315.0,top
D150,43.923223,34.469317,315.0,top
D151,43.923223,32.569317,315.0,top
D152,43.923223,30.669317,315.0,top
D153,43.923223,28.769317,315.0,top
D154,45.823223,43.968634,315.0,top
D155,45.823223,42.069317,315.0,top
D156,45.823223,40.169317,315.0,top
D157,45.823223,38.269317,315.0,top
D158,45.82321,36.3693,315.0,top
D159,45.823223,34.469317,315.0,top
D16,19.223223,32.573224,315.0,top
